Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0603_1608Metric",-294.648258,-120.911617,45.000000,bottom
"C2","0.1u","C_0603_1608Metric",-297.783250,-132.635625,-90.000000,bottom
"C3","0.1u","C_0603_1608Metric",-287.496250,-137.080625,-135.000000,bottom
"C4","0.1u","C_0603_1608Metric",-281.606625,-131.175125,-135.000000,bottom
"C5","4.7u","C_0603_1608Metric",-283.749750,-121.808875,180.000000,bottom
"C6","22pF","C_0603_1608Metric",-298.799250,-124.761625,180.000000,bottom
"C7","22pF","C_0603_1608Metric",-298.799250,-118.919625,180.000000,bottom
"C8","1u","C_0603_1608Metric",-283.749750,-123.317000,0.000000,bottom
"F1","Fuse_Small","Fuse_0805_2012Metric",-198.831200,-55.321200,-90.000000,bottom
"FB1","FerriteBead_Small","L_0805_2012Metric",-209.518250,-51.228625,0.000000,bottom
"ISP1","ISP_Header","PinHeader_2x03_P2.54mm_Vertical",-285.591250,-117.268625,0.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-202.406250,-48.140000,0.000000,bottom
"KD1","BAV70","SOT-23",-69.056250,-60.721875,-90.000000,bottom
"KD2","BAV70","SOT-23",-107.156250,-60.721875,-90.000000,bottom
"KD3","BAV70","SOT-23",-145.256250,-60.721875,-90.000000,bottom
"KD4","BAV70","SOT-23",-183.356250,-60.721875,-90.000000,bottom
"KD5","BAV70","SOT-23",-221.456250,-60.721875,-90.000000,bottom
"KD6","BAV70","SOT-23",-259.556250,-60.721875,-90.000000,bottom
"KD7","BAV70","SOT-23",-297.656250,-60.721875,-90.000000,bottom
"KD8","BAV70","SOT-23",-335.756250,-60.721875,-90.000000,bottom
"KD9","BAV70","SOT-23",-78.581250,-79.771875,-90.000000,bottom
"KD10","BAV70","SOT-23",-116.681250,-79.771875,-90.000000,bottom
"KD11","BAV70","SOT-23",-154.781250,-79.771875,-90.000000,bottom
"KD12","BAV70","SOT-23",-192.881250,-79.771875,-90.000000,bottom
"KD13","BAV70","SOT-23",-230.981250,-79.771875,-90.000000,bottom
"KD14","BAV70","SOT-23",-269.081250,-79.771875,-90.000000,bottom
"KD15","BAV70","SOT-23",-307.181250,-79.771875,-90.000000,bottom
"KD16","BAV70","SOT-23",-335.756250,-79.771875,-90.000000,bottom
"KD17","BAV70","SOT-23",-83.343750,-98.821875,-90.000000,bottom
"KD18","BAV70","SOT-23",-121.443750,-98.821875,-90.000000,bottom
"KD19","BAV70","SOT-23",-159.543750,-98.821875,-90.000000,bottom
"KD20","BAV70","SOT-23",-197.643750,-98.821875,-90.000000,bottom
"KD21","BAV70","SOT-23",-235.743750,-98.821875,-90.000000,bottom
"KD22","BAV70","SOT-23",-273.843750,-98.821875,-90.000000,bottom
"KD23","BAV70","SOT-23",-325.278750,-98.821875,-90.000000,bottom
"KD24","BAV70","SOT-23",-92.868750,-117.871875,-90.000000,bottom
"KD25","BAV70","SOT-23",-111.918750,-117.871875,-90.000000,bottom
"KD26","BAV70","SOT-23",-150.018750,-117.871875,-90.000000,bottom
"KD27","BAV70","SOT-23",-188.118750,-117.871875,-90.000000,bottom
"KD28","BAV70","SOT-23",-226.218750,-117.871875,-90.000000,bottom
"KD29","BAV70","SOT-23",-264.318750,-117.871875,-90.000000,bottom
"KD30","BAV70","SOT-23",-316.706250,-117.871875,-90.000000,bottom
"KD31","BAV70","SOT-23",-335.756250,-117.871875,-90.000000,bottom
"KD32","BAV70","SOT-23",-78.581250,-136.921875,-90.000000,bottom
"KD33","BAV70","SOT-23",-126.206250,-136.921875,-90.000000,bottom
"KD34","BAV70","SOT-23",-202.406250,-136.921875,-90.000000,bottom
"KD35","BAV70","SOT-23",-259.556250,-136.921875,-90.000000,bottom
"KD36","BAV70","SOT-23",-316.706250,-136.921875,-90.000000,bottom
"KD37","BAV70","SOT-23",-335.756250,-136.921875,-90.000000,bottom
"LED1","LED","PinSocket_2x01_P2.54mm_Vertical",-60.622500,-101.520625,180.000000,bottom
"LED1a1","LED","PinSocket_2x01_P2.54mm_Vertical",-65.385000,-101.520625,180.000000,bottom
"R1","5.1k","R_0603_1608Metric",-200.558400,-56.554735,-90.000000,bottom
"R2","5.1k","R_0603_1608Metric",-204.266800,-56.554735,-90.000000,bottom
"R3","10k","R_0603_1608Metric",-282.543250,-115.490625,90.000000,bottom
"R4","22","R_0603_1608Metric",-267.208000,-124.221875,0.000000,bottom
"R5","22","R_0603_1608Metric",-267.208000,-125.745875,0.000000,bottom
"R6","1k","R_0603_1608Metric",-67.925000,-104.695625,90.000000,bottom
"R7","10k","R_0603_1608Metric",-293.338250,-137.080625,-45.000000,bottom
"SW1","SW_Push","SW_SPST_TL3342",-286.866250,-105.980625,90.000000,bottom
"U1","USBLC6-2P6","SOT-666",-202.406420,-56.554735,-90.000000,bottom
"U2","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",-290.417250,-128.317625,-45.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-298.799250,-121.840625,-90.000000,bottom
