Ref,Val,Package,PosX,PosY,Rot,Side
">NAME",">VALUE","Mx_Stab_225",314.325000,-96.440625,0.000000,top
">NAME",">VALUE","Mx_Stab_275",214.312500,-134.540625,180.000000,top
">NAME",">VALUE","Mx_Stab_225",166.687500,-134.540625,180.000000,top
"K1","Key","SW_Cherry_MX_1.00u_PCB",59.531250,-58.340625,0.000000,top
"K2","Key","SW_Cherry_MX_1.00u_PCB",78.581250,-58.340625,0.000000,top
"K3","Key","SW_Cherry_MX_1.00u_PCB",97.631250,-58.340625,0.000000,top
"K4","Key","SW_Cherry_MX_1.00u_PCB",116.681250,-58.340625,0.000000,top
"K5","Key","SW_Cherry_MX_1.00u_PCB",135.731250,-58.340625,0.000000,top
"K6","Key","SW_Cherry_MX_1.00u_PCB",154.781250,-58.340625,0.000000,top
"K7","Key","SW_Cherry_MX_1.00u_PCB",173.831250,-58.340625,0.000000,top
"K8","Key","SW_Cherry_MX_1.00u_PCB",192.881250,-58.340625,0.000000,top
"K9","Key","SW_Cherry_MX_1.00u_PCB",211.931250,-58.340625,0.000000,top
"K10","Key","SW_Cherry_MX_1.00u_PCB",230.981250,-58.340625,0.000000,top
"K11","Key","SW_Cherry_MX_1.00u_PCB",250.031250,-58.340625,0.000000,top
"K12","Key","SW_Cherry_MX_1.00u_PCB",269.081250,-58.340625,0.000000,top
"K13","Key","SW_Cherry_MX_1.00u_PCB",288.131250,-58.340625,0.000000,top
"K14","Key","SW_Cherry_MX_1.00u_PCB",307.181250,-58.340625,0.000000,top
"K14a1","Key","SW_Cherry_MX_2.00u_PCB",316.706250,-58.340625,0.000000,top
"K15","Key","SW_Cherry_MX_1.00u_PCB",326.231250,-58.340625,0.000000,top
"K16","Key","SW_Cherry_MX_1.50u_PCB",64.293750,-77.390625,0.000000,top
"K17","Key","SW_Cherry_MX_1.00u_PCB",88.106250,-77.390625,0.000000,top
"K18","Key","SW_Cherry_MX_1.00u_PCB",107.156250,-77.390625,0.000000,top
"K19","Key","SW_Cherry_MX_1.00u_PCB",126.206250,-77.390625,0.000000,top
"K20","Key","SW_Cherry_MX_1.00u_PCB",145.256250,-77.390625,0.000000,top
"K21","Key","SW_Cherry_MX_1.00u_PCB",164.306250,-77.390625,0.000000,top
"K22","Key","SW_Cherry_MX_1.00u_PCB",183.356250,-77.390625,0.000000,top
"K23","Key","SW_Cherry_MX_1.00u_PCB",202.406250,-77.390625,0.000000,top
"K24","Key","SW_Cherry_MX_1.00u_PCB",221.456250,-77.390625,0.000000,top
"K25","Key","SW_Cherry_MX_1.00u_PCB",240.506250,-77.390625,0.000000,top
"K26","Key","SW_Cherry_MX_1.00u_PCB",259.556250,-77.390625,0.000000,top
"K27","Key","SW_Cherry_MX_1.00u_PCB",278.606250,-77.390625,0.000000,top
"K28","Key","SW_Cherry_MX_1.00u_PCB",297.656250,-77.390625,0.000000,top
"K29","Key","SW_Cherry_MX_1.50u_PCB",321.468750,-77.390625,180.000000,top
"K29a1","Key","SW_Cherry_MX_1.00u_PCB",323.850000,-86.915625,0.000000,top
"K30","Key","SW_Cherry_MX_1.00u_PCB",345.281250,-77.390625,0.000000,top
"K31","Key","SW_Cherry_MX_1.75u_PCB",66.675000,-96.440625,0.000000,top
"K31a1","Key","SW_Cherry_MX_1.25u_PCB",61.912500,-96.440625,0.000000,top
"K32","Key","SW_Cherry_MX_1.00u_PCB",92.868750,-96.440625,0.000000,top
"K33","Key","SW_Cherry_MX_1.00u_PCB",111.918750,-96.440625,0.000000,top
"K34","Key","SW_Cherry_MX_1.00u_PCB",130.968750,-96.440625,0.000000,top
"K35","Key","SW_Cherry_MX_1.00u_PCB",150.018750,-96.440625,0.000000,top
"K36","Key","SW_Cherry_MX_1.00u_PCB",169.068750,-96.440625,0.000000,top
"K37","Key","SW_Cherry_MX_1.00u_PCB",188.118750,-96.440625,0.000000,top
"K38","Key","SW_Cherry_MX_1.00u_PCB",207.168750,-96.440625,0.000000,top
"K39","Key","SW_Cherry_MX_1.00u_PCB",226.218750,-96.440625,0.000000,top
"K40","Key","SW_Cherry_MX_1.00u_PCB",245.268750,-96.440625,0.000000,top
"K41","Key","SW_Cherry_MX_1.00u_PCB",264.318750,-96.440625,0.000000,top
"K42","Key","SW_Cherry_MX_1.00u_PCB",283.368750,-96.440625,0.000000,top
"K43","Key","SW_Cherry_MX_1.00u_PCB",314.325000,-96.440625,0.000000,top
"K43a1","Key","SW_Cherry_MX_1.00u_PCB",302.418750,-96.440625,0.000000,top
"K44","Key","SW_Cherry_MX_1.00u_PCB",345.281250,-96.440625,0.000000,top
"K45","Key","SW_Cherry_MX_1.25u_PCB",61.912500,-115.490625,0.000000,top
"K45a1","Key","SW_Cherry_MX_2.25u_PCB",71.437500,-115.490625,0.000000,top
"K46","Key","SW_Cherry_MX_1.00u_PCB",83.343750,-115.490625,0.000000,top
"K47","Key","SW_Cherry_MX_1.00u_PCB",102.393750,-115.490625,0.000000,top
"K48","Key","SW_Cherry_MX_1.00u_PCB",121.443750,-115.490625,0.000000,top
"K49","Key","SW_Cherry_MX_1.00u_PCB",140.493750,-115.490625,0.000000,top
"K50","Key","SW_Cherry_MX_1.00u_PCB",159.543750,-115.490625,0.000000,top
"K51","Key","SW_Cherry_MX_1.00u_PCB",178.593750,-115.490625,0.000000,top
"K52","Key","SW_Cherry_MX_1.00u_PCB",197.643750,-115.490625,0.000000,top
"K53","Key","SW_Cherry_MX_1.00u_PCB",216.693750,-115.490625,0.000000,top
"K54","Key","SW_Cherry_MX_1.00u_PCB",235.743750,-115.490625,0.000000,top
"K55","Key","SW_Cherry_MX_1.00u_PCB",254.793750,-115.490625,0.000000,top
"K56","Key","SW_Cherry_MX_1.00u_PCB",273.843750,-115.490625,0.000000,top
"K57","Key","SW_Cherry_MX_1.75u_PCB",300.037500,-115.490625,0.000000,top
"K58","Key","SW_Cherry_MX_1.00u_PCB",326.231250,-115.490625,0.000000,top
"K59","Key","SW_Cherry_MX_1.00u_PCB",345.281250,-115.490625,0.000000,top
"K60","Key","SW_Cherry_MX_1.50u_PCB",64.293750,-134.540625,0.000000,top
"K61","Key","SW_Cherry_MX_1.00u_PCB",88.106250,-134.540625,0.000000,top
"K62","Key","SW_Cherry_MX_1.50u_PCB",111.918750,-134.540625,0.000000,top
"K63","Key","SW_Cherry_MX_1.00u_PCB",135.731250,-134.540625,0.000000,top
"K64","Key","SW_Cherry_MX_2.25u_PCB_NoStab",166.687500,-134.540625,0.000000,top
"K64a1","Key","SW_Cherry_MX_7.00u_PCB_NoStab",192.881250,-134.540625,0.000000,top
"K65","Key","SW_Cherry_MX_2.75u_PCB_NoStab",214.312500,-134.540625,0.000000,top
"K66","Key","SW_Cherry_MX_1.00u_PCB",250.031250,-134.540625,0.000000,top
"K67","Key","SW_Cherry_MX_1.50u_PCB",273.843750,-134.540625,0.000000,top
"K68","Key","SW_Cherry_MX_1.00u_PCB",307.181250,-134.540625,0.000000,top
"K69","Key","SW_Cherry_MX_1.00u_PCB",326.231250,-134.540625,0.000000,top
"K70","Key","SW_Cherry_MX_1.00u_PCB",345.281250,-134.540625,0.000000,top
"REF**","Mx_Stab_ISO","Mx_Stab_ISO",323.850000,-86.915625,0.000000,top
"REF**","MXStab_7.00u","MXStab_7.00u",192.881250,-134.540625,180.000000,top
